95	 Alonso, Y	OAK	1B	47	148	28	44	8	0	16	34	23	38	1	0	.297	.395	.676	1.071
96	 Eaton, A	WSH	CF	23	91	24	27	7	1	2	13	14	18	3	1	.297	.393	.462	.854
96	 Jay, J	CHC	CF	46	91	16	27	5	1	0	8	10	21	1	0	.297	.387	.374	.760
98	 Garcia, L	CWS	CF	49	162	24	48	8	1	6	21	7	28	5	2	.296	.343	.469	.812
99	 Merrifield, W	KC	2B	40	142	18	42	4	2	6	15	10	20	6	1	.296	.348	.479	.827
100	 Owings, C	ARI	SS	55	203	21	60	12	1	6	30	12	47	9	2	.296	.333	.453	.787
101	 Pham, T	STL	CF	26	88	18	26	5	0	5	15	13	28	4	2	.295	.390	.523	.913
102	 Nava, D	PHI	LF	32	61	11	18	3	0	2	8	12	10	1	0	.295	.421	.443	.864
103	 Reynolds, M	COL	1B	55	200	33	59	6	0	14	46	22	55	1	1	.295	.366	.535	.901
104	 Altherr, A	PHI	RF	48	156	27	46	12	0	9	31	17	44	3	3	.295	.382	.545	.927
105	 Phillips, B	ATL	2B	48	173	22	51	10	0	3	17	10	25	7	3	.295	.348	.405	.752
106	 Bour, J	MIA	1B	55	190	27	56	8	0	16	40	22	49	1	0	.295	.369	.589	.959
107	 Machado, D	DET	SS	24	51	4	15	1	1	0	4	3	6	0	0	.294	.333	.353	.686
107	 Mancini, T	BAL	DH	41	136	13	40	8	0	7	25	9	39	1	0	.294	.338	.507	.845
109	 Lowrie, J	OAK	2B	54	205	34	60	18	0	7	20	20	34	0	0	.293	.360	.483	.843
110	 Pedroia, D	BOS	2B	45	171	17	50	9	0	2	21	21	17	1	2	.292	.369	.380	.749
111	 Shaw, T	MIL	3B	51	202	26	59	16	1	10	40	14	48	5	0	.292	.339	.530	.869
112	 Martinez, J	DET	RF	22	72	17	21	4	1	10	22	15	18	0	0	.292	.409	.792	1.201
113	 Ramirez, J	CLE	3B	54	199	29	58	12	2	7	26	20	30	6	3	.291	.353	.477	.830
114	 DeJong, P	STL	3B	9	31	2	9	2	0	1	4	0	9	0	0	.290	.290	.452	.742
115	 Prado, M	MIA	3B	17	69	8	20	2	0	2	6	3	11	0	0	.290	.315	.406	.721
116	 Realmuto, J	MIA	C	48	176	23	51	7	2	4	20	18	31	2	1	.290	.362	.420	.783
117	 Nunez, E	SF	3B	54	211	27	61	13	0	4	22	9	21	13	2	.289	.315	.408	.723
117	 Stanton, G	MIA	RF	55	211	33	61	14	0	15	39	24	55	0	0	.289	.360	.569	.929
119	 Arenado, N	COL	3B	58	225	40	65	19	1	14	39	21	40	1	0	.289	.352	.569	.921
120	 Carrera, E	TOR	LF	49	149	16	43	2	1	4	13	13	32	3	1	.289	.346	.396	.742
121	 Hernandez, C	PHI	2B	54	222	39	64	9	2	5	14	20	47	6	3	.288	.350	.414	.764
121	 Pina, M	MIL	C	33	111	16	32	9	0	2	14	6	19	0	0	.288	.336	.423	.760
123	 Rendon, A	WSH	3B	52	191	27	55	12	1	10	35	29	32	3	2	.288	.382	.518	.900
124	 Cordoba, A	SD	LF	44	108	11	31	2	2	3	9	5	24	1	1	.287	.322	.426	.748
125	 Mauer, J	MIN	1B	47	178	25	51	11	0	4	23	19	25	0	0	.287	.359	.416	.774
126	 Suarez, E	CIN	3B	55	199	34	57	12	1	10	33	23	49	3	2	.286	.364	.508	.872
127	 Bonifacio, J	KC	RF	38	126	20	36	5	0	8	17	11	35	0	0	.286	.341	.516	.856
127	 Bumgarner, M	SF	P	3	7	2	2	0	0	2	2	1	1	0	0	.286	.375	1.143	1.518
127	 Stroman, M	TOR	P	3	7	2	2	1	0	1	1	0	4	0	0	.286	.286	.857	1.143
130	 LeMahieu, D	COL	2B	59	228	29	65	11	1	2	23	22	35	3	3	.285	.356	.368	.724
131	 Torreyes, R	NYY	SS	35	102	10	29	3	1	1	14	2	14	0	0	.284	.298	.363	.661
132	 Drury, B	ARI	2B	51	183	18	52	14	1	4	20	9	44	1	1	.284	.323	.437	.760
133	 Schoop, J	BAL	2B	53	194	26	55	17	0	8	28	11	40	0	0	.284	.333	.495	.828
134	 Smoak, J	TOR	1B	57	184	32	52	7	1	14	39	19	37	0	0	.283	.346	.560	.906
134	 Valencia, D	SEA	1B	51	184	22	52	9	2	5	26	18	42	1	1	.283	.343	.435	.778
136	 Markakis, N	ATL	RF	55	209	27	59	12	1	1	25	23	46	0	1	.282	.363	.364	.727
137	 Cano, R	SEA	2B	47	188	29	53	10	0	10	34	18	24	0	0	.282	.341	.495	.836
138	 Escobar, Y	LAA	3B	42	174	22	49	8	0	5	17	12	23	1	2	.282	.328	.414	.742
139	 Ellsbury, J	NYY	CF	39	135	19	38	7	0	4	14	13	25	8	2	.281	.349	.422	.771
140	 Votto, J	CIN	1B	56	199	40	56	14	0	14	44	43	32	2	1	.281	.411	.563	.974
141	 Gordon, D	MIA	2B	55	221	30	62	8	3	0	11	11	34	18	2	.281	.333	.344	.677
142	 Heredia, G	SEA	LF	44	157	19	44	3	0	4	10	11	21	1	2	.280	.339	.376	.715
143	 Lamb, J	ARI	3B	55	211	36	59	11	3	14	46	29	66	3	2	.280	.368	.559	.927
144	 Abreu, J	CWS	1B	54	215	32	60	11	1	10	30	15	40	0	0	.279	.335	.479	.814
145	 Donaldson, J	TOR	3B	18	61	10	17	4	0	6	10	8	18	0	0	.279	.362	.639	1.002
145	 Martinez, J	STL	1B	25	61	8	17	4	0	1	6	3	15	1	0	.279	.313	.393	.706
147	 Wieters, M	WSH	C	44	158	18	44	9	0	5	20	15	35	1	0	.278	.345	.430	.775
148	 Healy, R	OAK	DH	55	212	23	59	14	0	11	28	9	56	0	1	.278	.308	.500	.808
149	 Wong, K	STL	2B	41	133	18	37	11	2	1	16	18	20	3	1	.278	.378	.414	.792
150	 Adams, M	ATL	1B	45	108	13	30	6	1	6	19	6	33	0	0	.278	.313	.519	.832
150	 Springer, G	HOU	RF	53	216	43	60	8	0	16	38	20	56	0	3	.278	.347	.537	.884
152	 Rivera, R	NYM	C	30	101	8	28	4	0	2	15	4	30	0	1	.277	.308	.376	.685
153	 Hechavarria, A	MIA	SS	20	65	8	18	2	1	1	6	1	9	0	0	.277	.288	.385	.672
